id,title,date,thumbnail,views,likes,dislikes,comments
aV0BK3QCk0g,Freeze Frame Nerf Battle | Dude Perfect,2020-03-23T21:57,https://i.ytimg.com/vi/aV0BK3QCk0g/default.jpg,5803280,234637,3005,13740
dAxhAF9ZzbA,LIVE: The DP Quarantine Classic - Spikeball,2020-03-21T01:02,https://i.ytimg.com/vi/dAxhAF9ZzbA/default.jpg,3835500,92019,2036,4917
zMOFyCP7BDo,LIVE: The DP Quarantine Classic - 3 v 3 Soccer,2020-03-20T00:45,https://i.ytimg.com/vi/zMOFyCP7BDo/default.jpg,3616440,100095,2169,4762
mSGEApmi8zM,LIVE: The DP Quarantine Classic - Golf Shootout,2020-03-19T00:52,https://i.ytimg.com/vi/mSGEApmi8zM/default.jpg,3726905,91517,2003,3757
CATfjIHTQG4,LIVE: The DP Quarantine Classic - Roller Chair Hockey,2020-03-18T01:18,https://i.ytimg.com/vi/CATfjIHTQG4/default.jpg,4029907,107483,2390,4450
fRyBPsmqemU,LIVE: The DP Quarantine Classic - 3 Point Shootout,2020-03-17T00:36,https://i.ytimg.com/vi/fRyBPsmqemU/default.jpg,7339127,210488,5345,8146
xG61CapseLU,World's Best Candy | Overtime 14 | Dude Perfect,2020-03-09T21:55,https://i.ytimg.com/vi/xG61CapseLU/default.jpg,12117961,324036,11783,34118
v_BgzDHGav0,Airsoft Battle Royale 2 | Dude Perfect,2020-02-24T22:57,https://i.ytimg.com/vi/v_BgzDHGav0/default.jpg,15556467,590515,8881,27844
hfzSedylBog,Water Bottle Flip 3 | Dude Perfect,2020-02-10T23:03,https://i.ytimg.com/vi/hfzSedylBog/default.jpg,17777496,683873,12592,22460
4MMdJHYHoiA,Lightsaber Accident | Overtime 13 | Dude Perfect,2020-01-27T22:57,https://i.ytimg.com/vi/4MMdJHYHoiA/default.jpg,18945486,473016,15249,36479
gqdwyXC4Jwk,Bucket List: Aircraft Carrier,2020-01-13T22:59,https://i.ytimg.com/vi/gqdwyXC4Jwk/default.jpg,20751917,689781,12676,36443
ItMpKIxXwlw,Hockey Trick Shots | Dude Perfect,2019-12-30T22:56,https://i.ytimg.com/vi/ItMpKIxXwlw/default.jpg,11342410,385039,5568,17821
GSTyIwVqO6Q,YouTube Rewind 2019: Dude Perfect Edition | #YouTubeRewind,2019-12-16T23:00,https://i.ytimg.com/vi/GSTyIwVqO6Q/default.jpg,7781459,342369,5323,9265
XYX-IZa3rNs,All Sports Bowling Battle | Dude Perfect,2019-12-02T22:56,https://i.ytimg.com/vi/XYX-IZa3rNs/default.jpg,15193190,365320,7017,13465
Iw8qP0GdZ_0,Nerf Trick Shots | Dude Perfect,2019-11-18T22:58,https://i.ytimg.com/vi/Iw8qP0GdZ_0/default.jpg,19739290,599410,17626,15237
3C0btIJjrW8,Backyard Games Battle | Dude Perfect,2019-11-04T23:00,https://i.ytimg.com/vi/3C0btIJjrW8/default.jpg,22547293,532676,12649,14681
O5Sduwj9G98,We Broke The Budget | Overtime 12 | Dude Perfect,2019-10-28T22:00,https://i.ytimg.com/vi/O5Sduwj9G98/default.jpg,26025135,998298,31686,114591
4xGFo_lYUrs,Unexpected Trick Shots | Dude Perfect,2019-10-21T22:00,https://i.ytimg.com/vi/4xGFo_lYUrs/default.jpg,31394125,794451,16971,24422
bIDKhZ_4jLQ,All Sports Trick Shots | Dude Perfect,2019-10-07T21:57,https://i.ytimg.com/vi/bIDKhZ_4jLQ/default.jpg,18867332,531424,11975,24282
