id,title,date,thumbnail,views,likes,dislikes,comments
8Tzi-14fz14,What should fans look for in the NBA 2K tournament? | NBA Countdown,2020-04-03T01:15:02.000Z,https://i.ytimg.com/vi/8Tzi-14fz14/default.jpg,480,48,2,16
uKRvNRxBY0Q,Is Wilbon's rant about Abdul-Jabbar's ranking on all-time list justified? | Highly Questionable,2020-04-03T00:30:01.000Z,https://i.ytimg.com/vi/uKRvNRxBY0Q/default.jpg,1160,132,13,78
i2LK3a8SMzI,Does LeBron James see his career coming to an end? | Jalen & Jacoby,2020-04-02T23:30:04.000Z,https://i.ytimg.com/vi/i2LK3a8SMzI/default.jpg,1603,154,76,75
UxabqP5QE6Q,Is LeBron James seeking attention by watching his highlights on IG Live? | Highly Quarantined,2020-04-03T00:00:04.000Z,https://i.ytimg.com/vi/UxabqP5QE6Q/default.jpg,4250,73,352,154
eXXB1WMDfVA,Getting fired up for the NBA 2K tournament (and the Ronnie 2K-Boogie Cousins drama) | NBA Countdown,2020-04-02T22:18:16.000Z,https://i.ytimg.com/vi/eXXB1WMDfVA/default.jpg,6344,190,13,40
tTXHuCbX_zM,Debating the top college football games from the last 30 years | Golic & Fitz,2020-04-02T23:45:04.000Z,https://i.ytimg.com/vi/tTXHuCbX_zM/default.jpg,306,32,2,37
Y3-8UIMbBtY,Guessing the plots of real sports movies with Paul Scheer | Always Late with Katie Nolan,2020-04-02T21:15:51.000Z,https://i.ytimg.com/vi/Y3-8UIMbBtY/default.jpg,2419,130,11,26
2jXILj2yBYo,Michigan State’s Tom Izzo ‘sought out’ witness related to 2017 investigation | Outside The Lines,2020-04-03T01:38:09.000Z,https://i.ytimg.com/vi/2jXILj2yBYo/default.jpg,224,23,5,6
n3eGRKcNvbQ,Could the Astros' former manager and GM be let off the hook? | Around the Horn,2020-04-02T21:48:16.000Z,https://i.ytimg.com/vi/n3eGRKcNvbQ/default.jpg,2184,43,16,16
rBYE9kCSX6w,Antonio Brown makes no sense for the Ravens! - Woody Paige | Around the Horn,2020-04-02T21:45:02.000Z,https://i.ytimg.com/vi/rBYE9kCSX6w/default.jpg,5058,112,21,72
Aj91ID_2jTw,Most intriguing wide receiver prop bets for the 2020 NFL Draft | Daily Wager,2020-04-02T21:30:00.000Z,https://i.ytimg.com/vi/Aj91ID_2jTw/default.jpg,1862,30,0,13
bbz0KWELxgY,Amy Dumas (aka Lita) shares her favorite WrestleMania memories | Now or Never,2020-04-02T20:31:24.000Z,https://i.ytimg.com/vi/bbz0KWELxgY/default.jpg,3322,81,11,27
